,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
76,1.03000000,97.97519731,-5.98423711,17.22285904,311.48475544,177.92030973,177.92030973,0.84291035,0.15708965,0.15708965
77,1.04000000,98.04430670,-6.03406085,17.39007126,312.43150334,178.67195584,178.67195584,0.84244070,0.15755930,0.15755930
78,1.05000000,98.11203190,-6.08383272,17.55728349,313.37218635,179.41843368,179.41843368,0.84197707,0.15802293,0.15802293
79,1.06000000,98.17841735,-6.13355209,17.72449571,314.30689154,180.15985895,180.15985895,0.84151927,0.15848073,0.15848073
80,1.07000000,98.24350555,-6.18321836,17.89170794,315.23570419,180.89634293,180.89634293,0.84106710,0.15893290,0.15893290
81,1.08000000,98.30733719,-6.23283094,18.05892016,316.15870776,181.62799273,181.62799273,0.84062037,0.15937963,0.15937963
82,1.09000000,98.36995122,-6.28238930,18.22613238,317.07598396,182.35491151,182.35491151,0.84017890,0.15982110,0.15982110
83,1.10000000,98.43138493,-6.33189295,18.39334461,317.98761284,183.07719868,183.07719868,0.83974252,0.16025748,0.16025748
84,1.11000000,98.49167409,-6.38134140,18.56055683,318.89367276,183.79495006,183.79495006,0.83931107,0.16068893,0.16068893
85,1.12000000,98.55085298,-6.43073422,18.72776905,319.79424047,184.50825809,184.50825809,0.83888439,0.16111561,0.16111561
86,1.13000000,98.60895449,-6.48007099,18.89498128,320.68939117,185.21721196,185.21721196,0.83846233,0.16153767,0.16153767
87,1.14000000,98.66601018,-6.52935132,19.06219350,321.57919851,185.92189777,185.92189777,0.83804476,0.16195524,0.16195524
88,1.15000000,98.72205034,-6.57857486,19.22940573,322.46373467,186.62239870,186.62239870,0.83763154,0.16236846,0.16236846
89,1.16000000,98.77710409,-6.62774125,19.39661795,323.34307034,187.31879513,187.31879513,0.83722253,0.16277747,0.16277747
90,1.17000000,98.83119940,-6.67685020,19.56383017,324.21727484,188.01116477,188.01116477,0.83681761,0.16318239,0.16318239
91,1.18000000,98.88436315,-6.72590140,19.73104240,325.08641607,188.69958277,188.69958277,0.83641667,0.16358333,0.16358333
92,1.19000000,98.93662120,-6.77489458,19.89825462,325.95056060,189.38412185,189.38412185,0.83601960,0.16398040,0.16398040
